[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397037. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397038. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397039. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397040. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397041. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397042. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397043. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397044. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397045. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397046. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397047. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397048. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397049. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397050. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397051. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397052. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397053. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397054. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397055. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397056. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397057. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397058. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:PeasantA, Id:44397059. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:PeasantA, Id:44397060. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397061. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397062. Logic count: 1
